,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,600.00","1,300.00",Rs./Quintal,2.80,Metric Tonnes,30-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,600.00","1,300.00",Rs./Quintal,6.30,Metric Tonnes,29-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,3.60,Metric Tonnes,28-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,6.90,Metric Tonnes,27-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,200.00",Rs./Quintal,4.60,Metric Tonnes,26-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,700.00,"1,300.00","1,000.00",Rs./Quintal,3.30,Metric Tonnes,25-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,7.00,Metric Tonnes,24-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,7.00,Metric Tonnes,23-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,6.50,Metric Tonnes,22-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,5.70,Metric Tonnes,21-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,10.00,Metric Tonnes,19-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,7.60,Metric Tonnes,17-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,5.10,Metric Tonnes,16-06-2026
