,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,000.00","2,000.00","1,500.00",Rs./Quintal,839.00,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,800.00,"1,800.00","1,200.00",Rs./Quintal,851.00,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,800.00,"1,800.00","1,200.00",Rs./Quintal,814.00,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,800.00,"1,800.00","1,200.00",Rs./Quintal,915.00,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","2,000.00","1,700.00",Rs./Quintal,927.00,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","2,000.00","1,700.00",Rs./Quintal,966.00,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","2,200.00","1,700.00",Rs./Quintal,774.00,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,000.00","2,000.00","1,500.00",Rs./Quintal,968.00,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,300.00","2,500.00","2,000.00",Rs./Quintal,881.00,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,300.00","2,500.00","2,000.00",Rs./Quintal,783.00,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,300.00","2,500.00","2,000.00",Rs./Quintal,698.00,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,600.00","3,000.00","2,200.00",Rs./Quintal,711.00,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,600.00","3,000.00","2,200.00",Rs./Quintal,592.00,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,500.00","3,000.00","2,000.00",Rs./Quintal,654.00,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,800.00","3,100.00","2,300.00",Rs./Quintal,635.00,Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,800.00","3,000.00","2,400.00",Rs./Quintal,501.00,Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,800.00","3,000.00","2,400.00",Rs./Quintal,398.00,Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"2,000.00","3,000.00","2,500.00",Rs./Quintal,504.00,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,900.00","3,600.00","2,600.00",Rs./Quintal,424.00,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"2,000.00","3,500.00","2,500.00",Rs./Quintal,301.00,Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,900.00","3,600.00","2,600.00",Rs./Quintal,271.00,Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,000.00","1,600.00","1,200.00",Rs./Quintal,523.00,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,800.00","3,500.00","2,500.00",Rs./Quintal,212.00,Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,000.00","1,800.00","1,400.00",Rs./Quintal,576.00,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,800.00","3,500.00","2,500.00",Rs./Quintal,116.00,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","1,900.00","1,500.00",Rs./Quintal,603.00,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,500.00","3,000.00","2,000.00",Rs./Quintal,104.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","1,900.00","1,500.00",Rs./Quintal,629.00,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,700.00","3,400.00","2,200.00",Rs./Quintal,115.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Vegetables,Tomato,Local,FAQ,"1,200.00","1,900.00","1,500.00",Rs./Quintal,648.00,Metric Tonnes,04-07-2026
